stock_index,dt,id,key_sentence
000723,2019-08-30,000723_2019-08-30_1,小幅下滑0.52pcts至24.50%。氢能源车方面，飞驰客车2019年上半年生产和加工车辆共计314辆，其中生产新能源车293辆，加工车21辆，__积极布局氢能源产业链，未来发展空间巨大。公司通过合作投资平台控股的鸿基创能，目标实现膜电极MEA规模化生产，争取通__岛等地方政府建立合作意向，以期进一步拓展氢能源市场版图。考虑到“十城千辆”的政策支持，公司也规划2019年氢燃料汽车销量突破千辆以上。   __盈利中枢以及15倍PE的估值中枢），给予氢能源板块250亿市值，对应目标价11.60元，维持“增持”评级。
002648,2019-04-14,002648_2019-04-14_1,能科技有限公司（下称“卫星氢能”），主营氢能源技术、氢能源设备等的技术研发、转让及咨询等业务，注册资本1000万元。我们预计公司2019-2021__、加氢等设施建设”内容。基于氢燃料电池的氢能源的发展利用已经获得国家层面的支持。公司目前具备90万吨/年PDH项目，除去双氧水装置的应用外，富余氢__园项目建成后将副产25万吨/年氢气，顺应氢能源行业发展大趋势。   
300540,2019-11-01,300540_2019-11-01_1,　　公司充分受益氢能源基础设施建设，氢能投资落地确定性强国内开始加大对氢燃料电池领域的规划和支持力度，多个国家级规划都将发__转移上具备明显的优势，将充分受益于国内的氢能源基础设备的投资落地，未来国内氢能发展的加速将为公司的液化、纯化及撬装加注等核心功能设备打开更广阔的应__是周期拐点，未来重回景气轨道，考虑公司在氢能源利用方面的布局，我们首次覆盖给予“增持”评级。   __　风险提示：LNG设备需求恢复低于预期；氢能源基础设备建设低于预期。
002648,2019-04-18,002648_2019-04-18_8,贡献归母净利润20亿元。近期国家政策鼓励氢能源发展，公司富余氢气有望成为重要战略资源。   __设立氢能源子公司，积极涉足清洁能源行业。公司近期出资1000万元设立氢能科技子公司，主要涉及氢能源技术、氢能源__以上，推广氢燃料电池1000量。当前我国氢能源处于起步阶段，在国家政策鼓励下有较大发展空间，公司未来富余氢气有望成重要战略资源。   
002221,2020-03-17,002221_2020-03-17_1,易业务，向全球领先的绿色化工生产商和优质氢能源供应商成功转型。2018年公司液化气销售业务收入占比75%，毛利占比43%，近年来毛利率持续走低。 __我们认为，剥离完成后，PDH业务和氢能源业务可以支持公司长期发展。   __最大的医疗无纺布专用料生产企业；4）发展氢能源，具有协同优势。公司建成了江苏地区首个商业化加氢站，未来有望享受到国内氢能源燃料汽车产业的发展。  
600273,2020-01-20,600273_2020-01-20_1,氢能源：加速清洁能源产业布局。氢能源清洁高效，产业发展前景广阔，公司进入氢能源领域拥有成本优势。公司布局氢能源领域建设，与空气化工和三江
300540,2020-05-01,300540_2020-05-01_1,　　公司充分受益氢能源基础设施建设，氢能投资落地确定性强公司在LNG工艺以及液体工艺的沉淀，将使得公司在加氢站的设备开发和__转移上具备明显的优势，将充分受益于国内的氢能源基础设备的投资落地，未来国内氢能发展的加速将为公司的液化、纯化及撬装加注等核心功能设备打开更广阔的应__是周期拐点，未来重回景气轨道，考虑公司在氢能源利用方面的布局，我们维持公司“增持”评级。   __　风险提示：LNG设备需求恢复低于预期；氢能源基础设备建设低于预期。
600459,2020-05-01,600459_2020-05-01_1,格处于近十年底部，未来随着疫情影响消除、氢能源需求放量以及贵金属属性加持，铂价格有望开启上涨周期。贵研铂业在氢能源催化剂的探索有望提供更大成长空间__，在氢能源领域公司与上汽合作研发燃料电池催化剂，技术储备5年，目前在实验室应用阶段。   __　　风险提示：氢能源需求低预期、钯价格暴跌。
000723,2019-07-23,000723_2019-07-23_1,来焦化业务仍存扩张空间，站在风口积极布局氢能源业务，有望成为行业领跑者。__站在风口，积极布局氢能源业务。氢能作为未来能源体系的重要组成部分，是国重点家发展战略。公司焦化业务副产品产生氢具备天然优势，__有氢燃料电池企业国鸿氢能9.09%股权、氢能源车企飞驰汽车51.20%股权。公司2019年3月23日与嘉兴管委会签订合作框架协议，美锦能源等资本拟
002221,2020-09-02,002221_2020-09-02_1,氢能源板块继续拓展，公司占据先发优势。公司现有2套PDH装置，每年副产6万吨高纯氢气，宁波二期投产后还将新__PDH副产氢具有高纯度、低成本的优势。在氢能源板块，公司一方面持续拓展下游客户，目前张家港新材料已经与凯凌化工、易高生物等、宁波新材料已经与万华化__氢气供应合作关系；另一方面，公司不断推进氢能源产业链建设，张家港加氢站已为张家港及常熟部分氢能源车辆提供加氢服务，宁波氢气充装站也将于下半年投入使__用。公司立志成为国内领先的优质氢能源供应商，积极参与氢能源产业链的发展规划，努力打通氢能利用全产业链通道，占据先发优势。   
002221,2020-08-20,002221_2020-08-20_1,业联盟并成为副理事长单位，积极参与长三角氢能源产业链的建设，将在高纯度氢气供应、氢气储运系统研发、加氢站建设等方面发挥重要作用；同期，公司成立全资__子公司江苏东华氢能源有限公司，负责公司的氢能源板块，制定公司氢能源发展战略，统筹加氢站区域布局、氢能综合利用和储运设施研发工作。   
600273,2019-04-17,600273_2019-04-17_1,成为嘉化能源的战略股东，同时双方约定将在氢能源领域、页岩气分离和加工领域进行合作；另外，将共同成立产业基金，在新能源、新材料一体化解决方案领域进行__寻找合作伙伴，高效率布局氢能源领域   __业务进行合作，拓展多元化制氢的路径，为其氢能源产业链业务发展提供丰富的能源支持；4）双方探讨共同成立产业基金，以进行优质能源化工项目的投资，投向包__公司借助自身资源优势、区位优势，抢先布局氢能源领域，在我国氢燃料电池汽车行业快速发展的大背景下，新增业务发展想象空间。   
300540,2020-08-28,300540_2020-08-28_1,公司充分受益氢能源基础设施建设，持续推进氢能产业布局公司具备制氢、氢液化、氢加注等成套装备的设计、制造一站式解决方案提__公司将继续推进在山西省大同市投资建设深冷氢能源装备基地，拟在大同分步投建液氢装置、加氢站、氢能源装备生产基地等项目。公司还拟与中能源工程集团北方有__是周期拐点，未来重回景气轨道，考虑公司在氢能源利用方面的布局，我们维持公司“增持”__风险提示：LNG设备需求恢复低于预期；氢能源基础设备建设低于预期。
600459,2020-08-21,600459_2020-08-21_2,氢能源远期前景有助铂系金属价格上涨。2020年6月德国内阁通过了《国家氢能战略》，该战略的关键一点是承认“__我国也在积极探索氢能源发展，4月国家能源局综合司发布了《关于做好可再生能源发展“十四五”规划编制工作有关事项的通知》，明确__车工作组框架下相关技术法规的制定与协调。氢能源正处于规模商业化的前夜，十四五期间有望快速发展。铂金作为目前氢能源电堆技术中不可或缺的材料，远期需求__5倍，考虑公司业绩大幅回升，汽车催化剂和氢能源发展或推动铂系金属需求前景向好，继续给予公司“增持”投资评级。   
300540,2020-09-22,300540_2020-09-22_1,物柴油和生物石油重整制氢系统，设计并制造氢能源相关设备，在上海、辽宁、天津、浙江、广东等地开展燃料电池热电联产、燃料电池备用电源等项目示范。   __公司继续推动完成氢能源利用产业闭环，持续推进氢能产业布局本次公司对徐州铭寰能源有限公司进行增资，符合公司氢能源发展战略，通__、氢储运及加注的产业链基础上进一步完善了氢能源产业链的布局，培育公司带来新的利润增长点。   __是周期拐点，未来重回景气轨道，考虑公司在氢能源利用方面的布局，我们维持公司“增持”评级。   __风险提示：LNG设备需求恢复低于预期；氢能源基础设备建设低于预期。
002639,2019-10-22,002639_2019-10-22_1,公司新增信用减值损失等约1950万元；③氢能源等新业务拓展，导致相关成本费用增加。整体来看，短期压力仍存。积极转型，2019年公司与重庆市两江新区__燃料电池产业发展空间大，未来可期。氢能源具备安全、高效、清洁等特征，伴随技术不断突破，成本逐渐下降，目前已经逐渐进入商业化运营阶段。从全球来__功率、耐久性等已达到商业化应用水平。中国氢能源发展潜力大，目前已经在制氢、储氢、运输等环节逐渐储备技术，在核心部件如膜电极、双极板、电堆等基本实现__向运营服务商转型，长期目标是确立无碳高效氢能源项目及核心设备研发与供应。通过一系列并购、控股或参股方式，引进氢能与燃料电池领域等国际先进技术，形成
600273,2020-02-03,600273_2020-02-03_1,，氯碱副产氢气提纯成本较低，适合用于发展氢能源。公司在氢能方面布局领先，与产业多方合作，上半年公司与富瑞氢能、上海重塑成立合资公司从事加氢站建设和__　　氢能源目前仍然在政策培育期，上海周边加氢站对外氢气供应价格为60元/公斤左右，地方补贴为20元/公斤左右，__终端用户加氢价格为40元/公斤左右。氢能源产业处于爆发前夜，公司在氢能领域布局完整，氢源优势突出，液氢技术领先，未来将直接受益于氢能产业的长期__抗艾滋病药物在新冠病毒防治应用不及预期；氢能源产业发展不及预期；化工产品价格大幅下降的风险；大盘系统性风险。
000601,2019-10-16,000601_2019-10-16_1,　　公司发布投资氢能源项目公告。公司拟设立投资开发经营氢能、加氢站及储能等业务的项目公司，注册资金拟为1亿元，其中首期50__　　投资氢能源项目，加强与华能集团合作，寻找利润新增长点。公司公告拟设立全资项目公司，从事开发经营氢能、加氢站及储__统（汽车动力总成）及相关零部件制造项目。氢能源开发为当前我国政策鼓励方向，在《“十三五”国家战略性新兴产业发展规划》、“中国制造2025”等国家级__在储能、新能源领域技术实力雄厚，此次投资氢能源将进一步深化与股东华能集团合作，同时进一步拓展公司产业链。   
600875,2020-06-01,600875_2020-06-01_1,氢能资产注入，公司加速氢能源产业化。子公司东方氢能是国内少数能够配套100台级氢能客车的燃料电池企业之一，通过购买与氢燃料电池业__电动汽车、燃料电池汽车三条路线并行发展。氢能源有望在政策的持续扶持下，吸引更多资本、技术、人才，推动产业快速发展。2016-2019年，我国氢燃料__商及电站工程承包商之一，氢能资产注入加速氢能源产业化。我们维持公司盈利预测，预计20-22年归母净利润分别为15.89亿元、17.64亿元、19.
601678,2020-08-26,601678_2020-08-26_1,　　设立产业投资基金，加码氢能源。2020年5月26日，公司公告出资2亿元，认购北京水木氢源一期产业投资中心（有限合伙）出资总额的3__业、交通等领域的推广应用。公司2019年氢能源项目试车成功，本次产业投资基金的，有利于未来公司积极抓住氢能源产业发展机遇，实现公司转型升级。   
601678,2019-08-20,601678_2019-08-20_1,扩大氢能源领域投资，氢能源项目试车成功。2019年5月9日，公司公告氢能源项目试车成功，后续公司将不断对装置进行调整优化，逐步
601212,2019-09-26,601212_2019-09-26_1,为燃料电池中质子交换膜PEM的理想表面，氢能源燃料电池正成为一个新的动力电池发展路径方向。氢能源是非常理想无污染的终极能源，2019年氢能首次写进__东、江苏等地也相继出台具体政策，推动当地氢能源汽车产业发展。国内《新能源汽车产业发展规划（2021-2035年）》正在制定中，相关部委正在各地调研__考察和听取意见，氢能源可能是重要的议题之一。铂金需求有望因为氢能源汽车的发展而快速打开。传统汽车催化剂需求方面，随着中国国__风险提示：（1）氢能源产业发展不及预期；（2）公司项目进展不及预期；（3）经济下行和需求不振，金属价格大幅下跌
601212,2020-03-11,601212_2020-03-11_1,产的需求。供给上金矿产量未来或继续下降。氢能源电池需求扩张带动铂价有望进入长期上行周期。全球汽车排放标准提高，钯价保持高位震荡。铜价尽管短期经济受__值得重视的是，未来氢能源市场发展有望带动铂系金属迎来长周期上行，公司持有的斯班一股权市值具有广阔的上升空间。同时，全球外生冲__风险提示：经济衰退铜锌价格大幅下跌、氢能源发展不及预期
002221,2019-12-13,002221_2019-12-13_1,业联盟并成为副理事长单位，积极参与长三角氢能源产业链的建设，将在高纯度氢气供应、氢气储运系统研发、加氢站建设等方面发挥重要作用；同期，公司成立全资__子公司江苏东华氢能源有限公司，负责公司的氢能源板块，制定公司氢能源发展战略，统筹加氢站区域布局、氢能综合利用和储运设施研发工作。   
002221,2020-03-02,002221_2020-03-02_2,业联盟并成为副理事长单位，积极参与长三角氢能源产业链的建设，将在高纯度氢气供应、氢气储运系统研发、加氢站建设等方面发挥重要作用；同期，公司成立全资__子公司江苏东华氢能源有限公司，负责公司的氢能源板块，制定公司氢能源发展战略，统筹加氢站区域布局、氢能综合利用和储运设施研发工作。   
600989,2020-03-19,600989_2020-03-19_1,成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。预测2020-2022年公司EPS为0.57/0.77/0.83元，给予目标价11__　　三期规划叠加氢能源布局，看好煤基新材料龙头成长空间。公司计划2020年开工建设三期烯烃项目的首套装置，其中包括150万__能产业。我们看好公司现有产品产能扩张叠加氢能源布局打开发展新篇章，长期成长空间可期。__成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。由于原油价格大幅下跌导致聚烯烃产品价格下跌超预期，下调公司2020-2021年归母
600213,2019-04-28,600213_2019-04-28_1,氢能源首次写入政府工作报告，政策持续加码。早在09年，中央财政就开始对包括燃料电池汽车在内的节能与新能源车__作报告首次增加“推动加氢设施建设”表述，氢能源的地位进一步提高，未来产业发展或将产业政策帮助下加速发展。   __技术。潍柴动力早在2016年已经开始布局氢能源，先后与苏州弗尔赛、博世、英国锡里斯动力和巴拉德进行合作。尤其是潍柴与巴拉德合作值得关注，巴拉德在1
000723,2019-03-18,000723_2019-03-18_1,打通氢能源产业链：据公告，公司生产新能源车410量，销售360量。据中汽协数据，2018年全国销售燃料电池汽车__占率为23.58%。此外，拥有比较完备的氢能源产业链：1）丰富的氢气资源优势：依托美锦能源产业优势，据公告，公司炼焦过程中焦炉煤气富含50%以上氢__空白实现电容炭的进口替代。在此背景下公司氢能源车随着燃料电池汽车的“十城千辆工程”相关计划的推进与落实，有望获得更广阔的市场空间。   
002430,2019-04-02,002430_2019-04-02_1,司气体业务未来瞄准医疗气体、半导体特气和氢能源领域   __客户为主，公司将在医疗气体、半导体特旗和氢能源领域积极探索，公司未来的主要成长动力就来自于气体业务的拓展。   
600273,2019-12-26,600273_2019-12-26_1,，氯碱副产氢气提纯成本较低，适合用于发展氢能源。公司在氢能方面布局领先，与产业多方合作，上半年公司与富瑞氢能、上海重塑成立合资公司从事加氢站建设和__氢能源目前仍然在政策培育期，上海周边加氢站对外氢气供应价格为60元/公斤左右，地方补贴为20元/公斤左右，__终端用户加氢价格为40元/公斤左右。氢能源产业处于爆发前夜，公司在氢能领域布局完整，氢源优势突出，液氢技术领先，未来将直接受益于氢能产业的长期__不及预期；磺化系列产品下游需求不及预期；氢能源产业发展不及预期。
600989,2020-07-23,600989_2020-07-23_2,三期规划叠加氢能源布局，看好煤基新材料龙头成长空间。公司计划2020年开工建设三期烯烃项目的首套装置，其中包括150万__能产业。我们看好公司现有产品产能扩张叠加氢能源布局打开发展新篇章，长期成长空间可期。__成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。维持公司2020-2022年归母净利润预测为41.5/56.1/61.1亿元，对应
603113,2020-04-16,603113_2020-04-16_1,青岛新材料与氢能源综合利用项目有序进行：据公告，公司与青岛西海岸新区管委签署了《金能科技新材料与氢能源综合利用项目投资__》，计划在青岛西海岸新区投资建设新材料与氢能源综合利用项目，合同总额为人民币203亿元，其中一期项目中包含90万吨/年丙烷脱氢与8×6万吨/年绿色
000723,2019-08-27,000723_2019-08-27_1,氢能源布局再进一步：据公告，公司与青岛市工业和信息化局、青岛西海岸新区管理委员会三方签署了《青岛美锦氢能小__协议，拟在嘉兴建设燃料电池车产业园。公司氢能源布局逐步深入，利好公司长期发展。   __减持，宏观经济下行导致焦炭需求不及预期，氢能源项目建设不及预期
000723,2019-04-10,000723_2019-04-10_1,公司具备完备的氢能源产业链预计氢能技术优势：公司拥有气源―加氢站-膜电极-燃料电池车完整的氢能源产业链：1）氢气气源：依__0台，市占率23.58%。在此背景下公司氢能源车随着燃料电池汽车的“十城千辆工程”相关计划的推进与落实，有望获得更广阔的市场空间。   
000723,2020-01-03,000723_2020-01-03_1,了《佛山市粤运公共交通有限公司2019年氢能源公交车辆采购项目中标公示》，山西美锦能源股份有限公司控股子公司佛山市飞驰汽车制造有限公司与广东名阳集__20年1月3日，招标标的为43台8.5米氢能源公交车，投标报价7903.4万元。   __20订单充足：据公告，除本次3台8.5米氢能源公交车以外，飞驰汽车分别于2019年12月4日、2019年12月20日公告中标154辆新能源车与10
002221,2020-01-22,002221_2020-01-22_1,2030年百万辆氢燃料电池汽车的规划，制氢能源产业市场规模将达630亿元（氢气价格按照3.5万元/吨），远期市场规模将超千亿。每生产1吨丙烯约可产__。未来公司（聚）丙烯产能大规模扩张，远期氢能源的发展利用也将显著增厚公司业绩。我们看好公司未来发展，首次覆盖，予以“强烈推荐”评级。   
002648,2019-04-18,002648_2019-04-18_2,洁工艺优势，将生产过程中富余的氢气，开展氢能源业务拓展、参与氢能利用技术开发、寻求加氢站建设，以及积极参与国内氢能利用产业的发展，贡献低成本、高质__加氢站数量在2年内需要增长3倍以上。国际氢能源委员会预测2050年氢能源需求是目前的10倍，占终端能源消费量的比例超过15%，对全球二氧化碳减排量
300435,2020-05-07,300435_2020-05-07_1,积极布局氢能源，在氢能的制取-储运-加氢液化等环节均有储备，充分受益于氢能源市场化的大规模推进。公司的深冷技术可用__公告拟设立全资子公司中泰氢能，全方位布局氢能源下游应用。目前国家和地方政府对于氢能产业大力扶持，浙江省鼓励杭州利用2022亚运会契机加速氢能产业发
601678,2020-09-11,601678_2020-09-11_1,"有的制氢业务为出发点,携手亿华通成立滨华氢能源;2019年6月起,滨华氢能源成为张家口海珀尔的最大股东,充分布局上游加氢环节,与海珀尔联合建立一期__于2022年开始投产的C3C4新建项目及氢能源产业长远布局将为公司带来新的业务增长点,给予公司2021年21倍PE估值,目标价6.09元,给予“买"
000723,2019-08-29,000723_2019-08-29_1,布局氢能源全产业链，推动公司转型升级稳扎主营业务的同时，积极布局未来的核心能源――氢能源。公司主营焦化业务的副__，布局氢燃料电池汽车的整车制造领域，开拓氢能源应用领域产业链。飞驰汽车上半年生产新能源车293辆，加工车21辆，仅6月下旬完成100台氢燃料电池物__上，致力于创新转型，全方位布局焦化业务与氢能源产业链，升级业务条线，定位综合能源供应商，形成氢能产业闭环。深耕“煤-焦-气-化”   __产业链实现主业升级，同时布局氢能源生产、燃料电池自主化投产、加氢站网络建设、整车制造等全产业链，不断为公司制造新的业绩增长点。结合公司
002221,2020-05-07,002221_2020-05-07_1,业联盟并成为副理事长单位，积极参与长三角氢能源产业链的建设，将在高纯度氢气供应、氢气储运系统研发、加氢站建设等方面发挥重要作用；同期，公司成立全资__子公司江苏东华氢能源有限公司，负责公司的氢能源板块，制定公司氢能源发展战略，统筹加氢站区域布局、氢能综合利用和储运设施研发工作。   
000723,2019-05-17,000723_2019-05-17_1,Q：公司布局氢能源产业的动机   __内我们是第一家能做到全产业链的企业。而在氢能源方面和我们比较接近的有潍柴动力、亿华通。潍柴动力（巴拉德最大股东，新一代电堆的成本会降低很大，功率密__销量：去年飞驰客车销售700台车，其中氢能源汽车为400台（公交车300+，物流车70台）。   __今年争取总产量能超过1500辆，其中氢能源车达到1000台。   __Q：目前氢能源燃料电池中需要进口的部分   
002221,2020-05-02,002221_2020-05-02_1,易资产，向全球领先的绿色化工生产商和优质氢能源供应商转型，在资产剥离完成后，公司PDH业务弹性大，且有望受益国内氢能源汽车产业发展。我们预计公司2
603113,2020-11-02,603113_2020-11-02_1,　　青岛新材料与氢能源综合利用项目有序进行：据中报公告，青岛新材料与氢能源综合利用项目建设紧锣密鼓，有序进行。截至报告期末
600143,2020-08-11,600143_2020-08-11_4,、-6.88%和-9.65%。公司轻烃及氢能源板块受到了疫情和国际原油市场波动双重影响，上半年主要产品总销量42.82万吨，其中销售丙烯30.07__能碳纤维及复合材料、特种工程塑料、轻烃及氢能源、环保高性能再生塑料六大类，广泛应用于汽车、新能源、通讯等行业。公司陆续研发并孵化出LCP材料、高温
600028,2020-11-18,600028_2020-11-18_2,　　氢能源点燃新能源转型之路。中国石化近年来加快布局氢能产业，已经在加氢站、制氢技术、氢燃料电池、储氢材料等多__国氢气产量的14%左右。我们预计未来十年氢能源有望成为中石化新的重要增长驱动。   
601678,2020-10-15,601678_2020-10-15_1,氢能产业政策东风，公司携手亿华通成立滨华氢能源，后滨华氢能源入股张家口海珀尔，充分布局上游加氢环节。2020年7月14日，公司公告称将作为有限合伙
601633,2019-04-30,601633_2019-04-30_4,"拜访了公司并了解了公司在共享化、电气化、氢能源方面的布局。   __，可以算是一条平行赛道。近两年来，长城在氢能源的赛道上频频发力：成立了氢能技术中心进行前瞻研究，一期建设投资约4.7亿元，二期投资约9,200万元"
603113,2020-08-30,603113_2020-08-30_2,青岛新材料与氢能源综合利用项目有序进行：据公告，青岛新材料与氢能源综合利用项目建设紧锣密鼓，有序进行。截至报告期末，9
000723,2019-03-22,000723_2019-03-22_1,3.全面布局氢能源产业。   __不及预期，膜电极生产线投产不及预期，国内氢能源大规模应用不及预期
600273,2019-12-23,600273_2019-12-23_1,　　充分发挥氢源优势，完善氢能源产业布局，液氢引领产业链变革。   __氢、加氢站的完整布局，未来将构建一个强大氢能源循环系统，直接受益于氢能产业的长期发展。   __氢、加氢站的完整布局，未来将构建一个强大氢能源循环系统，受益于氢能产业的长期发展。   
300435,2020-02-26,300435_2020-02-26_1,　　积极布局氢能源，在氢能的制取-储运-加氢液化等环节均有储备，充分受益于氢能源市场化的大规模推进。公司的深冷技术可用__公告拟设立全资子公司中泰氢能，全方位布局氢能源下游应用。目前国家和地方政府对于氢能产业大力扶持，浙江省鼓励杭州利用2022亚运会契机加速氢能产业发
300274,2020-03-18,300274_2020-03-18_1,　　签订光伏制氢项目，布局氢能源   __经济性，将有较大的发展空间。公司积极布局氢能源，并与中国科学院大连化学物理研究所展开合作。2019年，阳光电源在山西晋中签订了一个300MW光伏和
600989,2020-11-17,600989_2020-11-17_1,成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间，我们测算2025年公司净利润有望突破200亿元。维持公司2020-2022年EPS__成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。维持公司2020-2022年归母净利润预测为41.5/56.1/61.1亿元，对应
600989,2020-08-04,600989_2020-08-04_1,成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。维持公司2020-2022年归母净利润预测为41.5/56.1/61.1亿元。上调__成本壁垒，长期看好烯烃、焦炭扩产规划以及氢能源布局打开成长空间。维持公司2020-2022年归母净利润预测为41.5/56.1/61.1亿元，对应
600875,2020-02-25,600875_2020-02-25_1,，产业迎来爆发期。2019年，我国首次将氢能源写入政府工作报告，氢能产业迎来顶级催化。根据《中国氢能源及燃料电池产业白皮书》
600273,2020-04-28,600273_2020-04-28_2,持续发力氢能源，受益氢能大发展。公司持续发力氢能源产业，利用副产氢气进行提纯，与美国空气产品公司和三江化工签署三方
