(407227, 1)
(133923, 12)
run xgboost
[0]	train-auc:0.606682
6         macdh   2298
8    mv_avg_3_5   2048
group prediction score
            groups  slope_cls  count  pos_ratio
0     (0.0, 0.321]        158  10716   0.014744
1   (0.321, 0.372]        789  10781   0.073184
2   (0.372, 0.411]       1767  10922   0.161784
3   (0.411, 0.447]       2910  10625   0.273882
4   (0.447, 0.484]       4371  10692   0.408810
5   (0.484, 0.523]       6074  10786   0.563137
6   (0.523, 0.567]       7619  10667   0.714259
7   (0.567, 0.621]       9001  10637   0.846197
8   (0.621, 0.692]       9954  10683   0.931761
9   (0.692, 0.748]       5170   5297   0.976024
10  (0.748, 0.808]       3175   3209   0.989405
11  (0.808, 0.851]       1053   1058   0.995274
12    (0.851, 1.0]       1064   1065   0.999061
threshold: 0.808
pred postive ratio: 0.83
pred postive ratio: 0.718
pred postive ratio: 0.75
pred postive ratio: 0.818
pred postive ratio: 0.847
pred postive ratio: 0.818
pred postive ratio: 0.818
